"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","1","3","5","l","763","2","101"
"congruent","1","1","2","l","650","3","101"
"incongruent","1","4","7","l","654","3","101"
"congruent","1","4","3","l","488","7","101"
"congruent","1","3","4","l","438","7","101"
"incongruent","1","1","3","a","587","4","101"
"congruent","1","2","3","l","456","5","101"
"congruent","1","2","5","a","461","3","101"
"incongruent","1","2","6","l","424","4","101"
"congruent","1","1","5","a","503","4","101"
"incongruent","1","2","3","a","618","5","101"
"congruent","1","3","7","a","440","4","101"
"congruent","1","2","6","a","533","4","101"
"congruent","1","1","3","a","547","2","101"
"congruent","1","1","5","a","468","4","101"
"incongruent","1","3","2","a","712","5","101"
"congruent","1","1","3","a","602","2","101"
"congruent","1","1","4","l","513","5","101"
"incongruent","1","3","2","a","447","5","101"
"incongruent","1","4","8","l","410","4","101"
"incongruent","1","3","6","l","600","3","101"
"congruent","1","1","4","a","471","3","101"
"incongruent","1","1","5","l","418","4","101"
"congruent","1","4","7","a","473","3","101"
"incongruent","1","1","5","l","395","4","101"
"incongruent","1","4","3","a","500","7","101"
"incongruent","1","1","3","a","892","4","101"
"congruent","1","4","3","l","513","7","101"
"congruent","1","4","7","a","451","3","101"
"incongruent","1","2","4","a","690","6","101"
"incongruent","1","3","3","a","666","6","101"
"incongruent","1","1","3","l","575","2","101"
"incongruent","1","4","6","l","495","2","101"
"congruent","1","3","2","l","524","5","101"
"incongruent","1","4","2","a","669","6","101"
"incongruent","1","2","4","l","403","2","101"
"incongruent","1","1","4","a","549","5","101"
"incongruent","1","4","4","a","537","8","101"
"congruent","1","4","6","a","670","2","101"
"congruent","1","1","3","l","446","4","101"
"incongruent","1","2","5","l","950","3","101"
"incongruent","1","2","5","l","641","3","101"
"congruent","1","2","6","a","458","4","101"
"incongruent","1","3","3","a","1101","6","101"
"congruent","1","2","2","l","568","4","101"
"congruent","1","2","4","l","474","6","101"
"incongruent","1","2","6","l","658","4","101"
"congruent","1","3","6","a","461","3","101"
"incongruent","1","4","3","a","649","7","101"
"incongruent","1","3","4","a","1123","7","101"
"incongruent","1","3","4","a","934","7","101"
"incongruent","1","4","4","a","800","8","101"
"incongruent","1","4","6","l","655","2","101"
"congruent","1","2","4","a","507","2","101"
"incongruent","1","2","4","l","543","2","101"
"congruent","1","3","5","a","464","2","101"
"incongruent","1","1","3","l","443","2","101"
"incongruent","1","3","7","l","625","4","101"
"incongruent","1","4","7","l","478","3","101"
"incongruent","1","3","5","l","658","2","101"
"congruent","1","4","2","l","463","6","101"
"congruent","1","3","3","l","651","6","101"
"incongruent","1","2","4","a","622","6","101"
"incongruent","1","3","6","l","460","3","101"
"congruent","1","4","4","l","586","8","101"
"congruent","1","2","5","a","513","3","101"
"congruent","1","1","2","l","419","3","101"
"incongruent","1","1","4","l","691","3","101"
"congruent","1","1","4","l","508","5","101"
"congruent","1","2","2","l","448","4","101"
"congruent","1","4","2","l","492","6","101"
"congruent","1","4","8","a","543","4","101"
"congruent","1","3","5","a","632","2","101"
"incongruent","1","4","8","l","437","4","101"
"congruent","1","3","7","a","531","4","101"
"congruent","1","1","3","l","394","4","101"
"congruent","1","4","6","a","587","2","101"
"incongruent","1","1","4","l","706","3","101"
"congruent","1","3","3","l","580","6","101"
"congruent","1","1","4","a","507","3","101"
"congruent","1","4","8","a","622","4","101"
"congruent","1","3","2","l","496","5","101"
"incongruent","1","2","2","a","1157","4","101"
"congruent","1","3","4","l","384","7","101"
"incongruent","1","4","2","a","766","6","101"
"incongruent","1","1","2","a","542","3","101"
"congruent","1","2","4","a","496","2","101"
"congruent","1","2","3","l","513","5","101"
"congruent","1","3","6","a","651","3","101"
"congruent","1","2","4","l","425","6","101"
"incongruent","1","1","4","a","447","5","101"
"incongruent","1","1","2","a","867","3","101"
"incongruent","1","2","2","a","528","4","101"
"incongruent","1","2","3","a","528","5","101"
"congruent","1","4","4","l","578","8","101"
"incongruent","1","3","7","l","706","4","101"
"incongruent","1","3","4","a","910","7","101"
"incongruent","1","4","3","a","1077","7","101"
"incongruent","1","3","7","l","639","4","101"
"congruent","1","1","3","a","502","2","101"
"congruent","1","4","3","l","425","7","101"
"congruent","1","1","5","a","446","4","101"
"congruent","1","2","6","a","571","4","101"
"congruent","1","4","8","a","493","4","101"
"incongruent","1","4","2","a","691","6","101"
"congruent","1","1","2","l","541","3","101"
"congruent","1","1","3","l","559","4","101"
"incongruent","1","4","8","l","672","4","101"
"incongruent","1","1","4","a","667","5","101"
"incongruent","1","1","3","a","542","4","101"
"incongruent","1","3","3","a","1329","6","101"
"congruent","1","3","2","l","561","5","101"
"incongruent","1","4","8","l","643","4","101"
"incongruent","1","3","6","l","622","3","101"
"congruent","1","2","4","l","926","6","101"
"congruent","1","1","4","a","463","3","101"
"congruent","1","4","6","a","483","2","101"
"congruent","1","3","4","l","415","7","101"
"incongruent","1","1","5","l","683","4","101"
"incongruent","1","1","4","a","544","5","101"
"incongruent","1","3","5","l","513","2","101"
"incongruent","1","1","2","a","435","3","101"
"congruent","1","3","7","a","416","4","101"
"congruent","1","1","3","a","415","2","101"
"congruent","1","3","2","l","406","5","101"
"incongruent","1","3","6","l","476","3","101"
"incongruent","1","1","3","l","503","2","101"
"incongruent","1","3","7","l","456","4","101"
"incongruent","1","2","6","l","455","4","101"
"incongruent","1","2","3","a","394","5","101"
"congruent","1","2","4","l","457","6","101"
"congruent","1","4","7","a","463","3","101"
"incongruent","1","2","4","l","494","2","101"
"congruent","1","4","6","a","429","2","101"
"congruent","1","2","3","l","434","5","101"
"incongruent","1","4","4","a","528","8","101"
"incongruent","1","1","3","l","482","2","101"
"congruent","1","4","4","l","461","8","101"
"incongruent","1","2","5","l","513","3","101"
"congruent","1","4","2","l","892","6","101"
"congruent","1","1","4","a","495","3","101"
"congruent","1","2","6","a","577","4","101"
"congruent","1","3","5","a","450","2","101"
"congruent","1","3","5","a","686","2","101"
"congruent","1","2","2","l","577","4","101"
"congruent","1","4","8","a","755","4","101"
"congruent","1","1","5","a","722","4","101"
"incongruent","0","2","2","l","602","4","101"
"incongruent","1","3","2","a","1144","5","101"
"congruent","1","4","7","a","635","3","101"
"incongruent","1","1","4","l","514","3","101"
"congruent","1","1","3","l","523","4","101"
"incongruent","1","2","3","a","637","5","101"
"incongruent","1","1","2","a","640","3","101"
"incongruent","1","1","5","l","462","4","101"
"congruent","1","2","4","a","515","2","101"
"incongruent","1","3","5","l","478","2","101"
"congruent","1","1","4","l","465","5","101"
"congruent","1","2","2","l","499","4","101"
"congruent","1","3","7","a","656","4","101"
"incongruent","1","2","4","a","614","6","101"
"congruent","1","3","4","l","391","7","101"
"incongruent","1","2","5","l","498","3","101"
"congruent","1","2","5","a","476","3","101"
"incongruent","1","1","4","l","529","3","101"
"incongruent","1","4","6","l","612","2","101"
"incongruent","1","1","3","a","480","4","101"
"incongruent","1","4","4","a","477","8","101"
"incongruent","1","2","6","l","418","4","101"
"congruent","1","3","3","l","446","6","101"
"incongruent","1","3","4","a","692","7","101"
"congruent","1","1","4","l","494","5","101"
"incongruent","1","4","7","l","531","3","101"
"incongruent","1","3","3","a","443","6","101"
"incongruent","1","4","3","a","513","7","101"
"incongruent","1","2","4","a","1699","6","101"
"incongruent","1","3","2","a","1238","5","101"
"congruent","1","4","4","l","483","8","101"
"congruent","1","3","6","a","543","3","101"
"congruent","1","2","4","a","494","2","101"
"congruent","1","2","3","l","459","5","101"
"incongruent","1","4","7","l","607","3","101"
"congruent","1","1","2","l","461","3","101"
"incongruent","1","4","6","l","498","2","101"
"congruent","1","4","2","l","621","6","101"
"congruent","1","4","3","l","450","7","101"
"congruent","1","2","5","a","494","3","101"
"incongruent","1","2","4","l","541","2","101"
"congruent","1","3","6","a","514","3","101"
"incongruent","1","4","2","a","672","6","101"
"congruent","1","3","3","l","444","6","101"
"incongruent","1","2","2","a","1162","4","101"
"congruent","1","4","6","a","540","2","101"
"incongruent","1","2","4","a","678","6","101"
"congruent","1","3","3","l","423","6","101"
"congruent","1","3","7","a","464","4","101"
"incongruent","1","1","4","l","461","3","101"
"congruent","1","4","4","l","542","8","101"
"incongruent","1","4","8","l","481","4","101"
"incongruent","1","2","4","l","525","2","101"
"incongruent","1","1","5","l","527","4","101"
"incongruent","1","3","4","a","608","7","101"
"congruent","1","4","6","a","559","2","101"
"congruent","1","3","5","a","415","2","101"
"incongruent","1","4","8","l","383","4","101"
"incongruent","1","3","5","l","494","2","101"
"congruent","1","3","2","l","465","5","101"
"congruent","1","1","3","l","878","4","101"
"incongruent","1","2","4","l","928","2","101"
"congruent","1","2","3","l","658","5","101"
"congruent","1","3","5","a","621","2","101"
"congruent","1","3","7","a","396","4","101"
"incongruent","1","2","3","a","764","5","101"
"congruent","1","1","2","l","562","3","101"
"congruent","1","2","2","l","492","4","101"
"congruent","1","2","6","a","444","4","101"
"congruent","1","2","4","l","544","6","101"
"incongruent","1","4","6","l","768","2","101"
"congruent","1","4","2","l","625","6","101"
"incongruent","1","4","3","a","511","7","101"
"congruent","1","4","7","a","464","3","101"
"congruent","1","3","6","a","624","3","101"
"incongruent","1","2","3","a","542","5","101"
"incongruent","1","4","7","l","446","3","101"
"congruent","1","1","5","a","460","4","101"
"incongruent","1","1","5","l","392","4","101"
"incongruent","1","2","6","l","582","4","101"
"incongruent","1","1","3","l","614","2","101"
"congruent","1","4","3","l","605","7","101"
"congruent","1","3","4","l","691","7","101"
"congruent","1","2","6","a","703","4","101"
"incongruent","1","4","7","l","592","3","101"
"incongruent","1","2","5","l","560","3","101"
"incongruent","1","4","4","a","448","8","101"
"congruent","1","2","4","l","551","6","101"
"incongruent","1","1","3","a","557","4","101"
"congruent","1","3","2","l","461","5","101"
"congruent","1","2","4","a","515","2","101"
"congruent","1","1","4","a","621","3","101"
"incongruent","1","2","4","a","536","6","101"
"congruent","1","1","4","l","515","5","101"
"incongruent","1","3","3","a","508","6","101"
"congruent","1","3","6","a","481","3","101"
"incongruent","1","2","5","l","524","3","101"
"incongruent","1","4","2","a","524","6","101"
"congruent","1","4","8","a","559","4","101"
"incongruent","1","3","3","a","656","6","101"
"incongruent","1","4","4","a","525","8","101"
"congruent","1","2","3","l","525","5","101"
"incongruent","1","4","3","a","732","7","101"
"congruent","1","1","3","l","649","4","101"
"congruent","1","4","3","l","587","7","101"
"incongruent","1","2","2","a","750","4","101"
"congruent","1","1","3","a","654","2","101"
"congruent","1","4","2","l","627","6","101"
"congruent","1","1","4","a","1010","3","101"
"incongruent","1","2","2","a","861","4","101"
"congruent","1","1","5","a","1027","4","101"
"incongruent","1","1","2","a","899","3","101"
"incongruent","1","1","4","l","683","3","101"
"congruent","1","3","4","l","703","7","101"
"incongruent","1","3","5","l","643","2","101"
"incongruent","1","3","7","l","960","4","101"
"congruent","1","1","4","l","945","5","101"
"incongruent","1","1","4","a","849","5","101"
"congruent","1","1","2","l","798","3","101"
"congruent","1","4","7","a","525","3","101"
