congruity,correct,distance,leftStimulus,response,response_time,rightStimulus,subject_nr
congruent,1,4,2,l,534,6,101
congruent,1,3,7,a,453,4,101
congruent,1,1,4,l,619,5,101
incongruent,1,4,2,a,609,6,101
incongruent,1,3,7,l,591,4,101
congruent,1,4,6,a,527,2,101
incongruent,0,4,3,l,494,7,101
incongruent,1,2,2,a,734,4,101
congruent,1,3,2,l,541,5,101
incongruent,1,2,3,a,530,5,101
congruent,1,2,4,a,579,2,101
incongruent,1,3,4,a,1358,7,101
incongruent,1,3,4,a,867,7,101
incongruent,0,2,4,a,1057,2,101
congruent,1,4,3,l,611,7,101
congruent,1,3,6,a,882,3,101
incongruent,1,2,5,l,685,3,101
incongruent,1,3,5,l,1183,2,101
incongruent,1,4,8,l,958,4,101
incongruent,1,3,2,a,657,5,101
congruent,1,1,2,l,462,3,101
incongruent,1,1,2,a,562,3,101
congruent,1,3,7,a,562,4,101
incongruent,1,3,7,l,610,4,101
incongruent,1,3,6,l,641,3,101
incongruent,1,3,3,a,654,6,101
congruent,1,4,2,l,674,6,101
congruent,1,3,5,a,542,2,101
incongruent,1,2,4,a,816,6,101
congruent,1,2,3,l,526,5,101
congruent,1,4,4,l,624,8,101
incongruent,1,2,6,l,1087,4,101
incongruent,1,1,4,a,506,5,101
incongruent,1,4,4,a,508,8,101
congruent,1,2,6,a,621,4,101
incongruent,1,4,2,a,699,6,101
incongruent,1,1,5,l,471,4,101
congruent,1,2,4,a,519,2,101
incongruent,1,2,6,l,531,4,101
incongruent,1,4,3,a,532,7,101
congruent,1,4,4,l,499,8,101
incongruent,1,1,3,l,626,2,101
incongruent,1,2,5,l,494,3,101
congruent,1,4,8,a,514,4,101
congruent,1,1,5,a,477,4,101
congruent,1,2,2,l,480,4,101
congruent,1,1,4,a,499,3,101
incongruent,1,3,6,l,638,3,101
incongruent,1,4,8,l,669,4,101
congruent,1,3,4,l,511,7,101
incongruent,0,4,7,a,499,3,101
incongruent,1,2,4,a,1210,6,101
congruent,1,1,3,l,480,4,101
incongruent,1,3,5,l,644,2,101
congruent,1,2,2,l,590,4,101
incongruent,1,1,5,l,536,4,101
incongruent,1,1,3,a,586,4,101
incongruent,1,2,2,a,1352,4,101
congruent,1,2,4,l,618,6,101
congruent,1,1,3,l,1278,4,101
incongruent,1,3,3,a,658,6,101
congruent,1,3,5,a,543,2,101
congruent,1,2,3,l,993,5,101
congruent,1,4,7,a,526,3,101
incongruent,1,4,6,l,929,2,101
congruent,1,1,2,l,737,3,101
congruent,1,3,3,l,1578,6,101
incongruent,1,1,3,l,1311,2,101
congruent,1,3,4,l,508,7,101
incongruent,1,2,3,a,748,5,101
congruent,1,1,4,a,796,3,101
incongruent,1,2,4,l,878,2,101
congruent,1,2,5,a,498,3,101
congruent,1,1,5,a,1022,4,101
incongruent,1,4,4,a,692,8,101
congruent,1,1,4,l,589,5,101
congruent,1,4,3,l,494,7,101
congruent,1,3,6,a,495,3,101
incongruent,1,3,2,a,652,5,101
incongruent,1,4,7,l,512,3,101
congruent,1,1,3,a,533,2,101
congruent,1,1,3,a,699,2,101
incongruent,1,4,6,l,542,2,101
congruent,1,2,5,a,448,3,101
congruent,1,4,6,a,540,2,101
congruent,1,4,8,a,640,4,101
congruent,1,2,4,l,683,6,101
congruent,1,3,3,l,543,6,101
congruent,1,1,3,a,920,2,102
incongruent,0,2,6,a,588,4,102
congruent,1,2,4,l,585,6,102
incongruent,1,2,4,l,769,2,102
congruent,1,4,6,a,1026,2,102
congruent,1,3,2,l,497,5,102
incongruent,1,3,7,l,682,4,102
incongruent,0,3,6,a,2158,3,102
incongruent,0,2,2,l,991,4,102
congruent,1,2,4,l,727,6,102
congruent,1,1,5,a,654,4,102
incongruent,1,4,4,a,1133,8,102
incongruent,1,3,2,a,1202,5,102
incongruent,1,2,5,l,655,3,102
incongruent,1,4,6,l,634,2,102
congruent,1,2,2,l,561,4,102
congruent,1,2,3,l,557,5,102
congruent,1,1,3,a,970,2,102
incongruent,0,3,3,l,554,6,102
incongruent,1,1,4,l,839,3,102
incongruent,1,4,7,l,655,3,102
congruent,1,3,3,l,627,6,102
incongruent,1,2,4,a,914,6,102
congruent,1,1,4,l,740,5,102
incongruent,1,4,2,a,971,6,102
congruent,1,3,7,a,1114,4,102
congruent,1,4,8,a,575,4,102
congruent,1,4,6,a,705,2,102
incongruent,0,2,4,l,960,6,102
congruent,1,1,4,a,935,3,102
congruent,1,4,8,a,639,4,102
congruent,1,3,2,l,526,5,102
incongruent,1,1,4,a,824,5,102
incongruent,1,3,7,l,610,4,102
incongruent,1,2,3,a,779,5,102
congruent,1,3,6,a,747,3,102
congruent,1,1,4,l,586,5,102
congruent,1,4,2,l,826,6,102
congruent,1,3,5,a,553,2,102
congruent,1,1,2,l,700,3,102
incongruent,0,1,5,a,1107,4,102
incongruent,1,1,5,l,811,4,102
congruent,1,2,6,a,770,4,102
incongruent,1,2,2,a,1067,4,102
congruent,1,2,3,l,507,5,102
incongruent,0,4,8,a,705,4,102
incongruent,1,3,5,l,854,2,102
incongruent,0,4,8,a,911,4,102
congruent,1,4,2,l,542,6,102
incongruent,0,4,2,l,593,6,102
congruent,1,4,3,l,592,7,102
congruent,1,4,7,a,639,3,102
congruent,1,4,7,a,866,3,102
congruent,1,3,6,a,1104,3,102
incongruent,0,2,4,a,963,2,102
incongruent,0,1,3,l,809,4,102
incongruent,1,2,5,l,1028,3,102
congruent,1,3,4,l,716,7,102
congruent,1,3,4,l,1248,7,102
incongruent,1,1,3,l,2499,2,102
incongruent,0,3,2,l,960,5,102
congruent,1,4,4,l,622,8,102
incongruent,0,4,6,a,1196,2,102
incongruent,1,2,6,l,679,4,102
incongruent,1,3,5,l,558,2,102
congruent,1,4,4,l,509,8,102
incongruent,0,1,2,l,930,3,102
incongruent,0,3,4,l,2984,7,102
congruent,1,1,3,l,822,4,102
congruent,1,1,2,l,686,3,102
incongruent,0,3,3,l,849,6,102
congruent,1,1,4,a,651,3,102
incongruent,0,2,3,l,750,5,102
incongruent,1,1,4,a,778,5,102
congruent,1,2,2,l,636,4,102
congruent,1,3,5,a,558,2,102
incongruent,0,3,6,a,622,3,102
congruent,1,4,3,l,506,7,102
incongruent,0,3,4,l,1564,7,102
congruent,1,2,4,a,539,2,102
congruent,1,3,3,l,910,6,102
incongruent,1,1,3,l,703,2,102
congruent,1,3,7,a,628,4,102
congruent,1,1,5,a,786,4,102
incongruent,0,4,4,l,821,8,102
congruent,1,2,5,a,523,3,102
incongruent,0,1,3,l,699,4,102
incongruent,0,4,3,l,708,7,102
congruent,1,1,3,l,421,4,102
incongruent,0,1,2,l,762,3,102
incongruent,0,4,7,a,725,3,102
congruent,1,2,5,a,579,3,102
congruent,1,2,6,a,699,4,102
incongruent,0,1,4,a,1695,3,102
incongruent,0,4,3,l,555,7,102
congruent,1,2,4,a,536,2,102
congruent,1,3,6,a,991,3,102
incongruent,0,2,5,a,910,3,102
incongruent,0,2,4,a,697,2,102
incongruent,0,2,5,a,925,3,102
incongruent,0,4,2,l,574,6,102
incongruent,0,2,4,l,915,6,102
incongruent,0,4,7,a,569,3,102
congruent,1,3,7,a,619,4,102
congruent,1,1,3,l,891,4,102
congruent,1,1,2,l,480,3,102
incongruent,0,3,5,a,531,2,102
congruent,1,1,2,l,546,3,102
congruent,1,4,8,a,531,4,102
congruent,1,2,4,a,477,2,102
incongruent,0,1,2,l,545,3,102
congruent,1,1,3,a,464,2,102
incongruent,0,3,2,l,542,5,102
incongruent,0,3,3,l,523,6,102
incongruent,0,1,4,l,699,5,102
incongruent,0,3,7,a,508,4,102
congruent,1,3,2,l,466,5,102
congruent,1,4,6,a,568,2,102
incongruent,0,4,8,a,865,4,102
incongruent,0,2,4,l,555,6,102
congruent,1,2,3,l,608,5,102
congruent,1,2,4,l,545,6,102
incongruent,0,4,8,a,769,4,102
incongruent,0,4,6,a,488,2,102
congruent,1,2,2,l,631,4,102
incongruent,0,4,2,l,591,6,102
congruent,1,3,7,a,523,4,102
congruent,1,2,6,a,766,4,102
congruent,1,3,4,l,591,7,102
incongruent,0,1,4,l,798,5,102
incongruent,0,4,7,a,587,3,102
incongruent,0,1,2,l,487,3,102
congruent,1,4,3,l,437,7,102
incongruent,0,1,4,a,1101,3,102
incongruent,0,1,3,a,630,2,102
congruent,1,1,3,a,541,2,102
incongruent,0,2,2,l,749,4,102
incongruent,0,3,3,l,499,6,102
congruent,1,1,5,a,628,4,102
congruent,1,2,5,a,612,3,102
incongruent,0,4,3,l,992,7,102
congruent,1,4,2,l,503,6,102
congruent,1,1,4,l,563,5,102
incongruent,0,4,4,l,562,8,102
congruent,1,2,6,a,487,4,102
congruent,1,1,4,a,948,3,102
congruent,1,4,4,l,485,8,102
congruent,1,2,2,l,551,4,102
congruent,1,2,4,a,488,2,102
incongruent,0,3,7,a,572,4,102
congruent,1,2,5,a,671,3,102
incongruent,0,2,3,l,607,5,102
congruent,1,3,2,l,441,5,102
congruent,1,3,3,l,402,6,102
congruent,1,1,5,a,511,4,102
incongruent,0,1,3,a,914,2,102
congruent,1,3,5,a,472,2,102
incongruent,0,2,3,l,687,5,102
incongruent,0,3,5,a,483,2,102
incongruent,0,1,5,a,712,4,102
incongruent,0,2,4,a,482,2,102
congruent,1,4,2,l,652,6,102
congruent,1,1,4,l,733,5,102
incongruent,0,4,3,l,656,7,102
congruent,1,3,3,l,411,6,102
congruent,1,2,3,l,449,5,102
congruent,1,4,3,l,399,7,102
incongruent,0,1,4,a,524,3,102
congruent,1,3,6,a,524,3,102
congruent,1,4,7,a,511,3,102
incongruent,0,2,6,a,689,4,102
incongruent,0,2,6,a,489,4,102
congruent,1,3,5,a,872,2,102
congruent,1,4,8,a,781,4,102
incongruent,0,4,6,a,2175,2,102
congruent,0,1,3,a,673,4,102
congruent,1,2,4,l,1690,6,102
congruent,1,4,6,a,1225,2,102
incongruent,0,3,6,a,1437,3,102
incongruent,0,3,2,l,2506,5,102
incongruent,0,2,2,l,1459,4,102
congruent,1,1,4,a,661,3,102
incongruent,1,1,3,a,867,4,102
incongruent,0,1,3,l,673,4,102
congruent,1,4,7,a,506,3,102
incongruent,0,3,4,l,518,7,102
incongruent,0,3,6,a,617,3,102
congruent,1,4,4,l,592,8,102
incongruent,0,3,4,l,1070,7,102
incongruent,0,4,4,l,447,8,102
congruent,1,3,4,l,487,7,102
incongruent,1,1,5,l,525,4,102
congruent,1,2,3,l,565,5,102
congruent,1,3,5,a,546,2,102
incongruent,0,2,3,l,441,5,102
congruent,1,2,4,a,486,2,102
congruent,1,2,4,l,538,6,102
incongruent,0,2,2,l,537,4,102
incongruent,0,4,4,l,623,8,102
congruent,1,1,4,a,463,3,102
incongruent,0,3,3,l,468,6,102
congruent,1,1,5,a,531,4,102
congruent,1,1,3,a,495,2,102
congruent,1,3,2,l,433,5,102
incongruent,0,3,2,l,510,5,102
congruent,1,4,8,a,639,4,102
incongruent,1,1,3,l,670,2,102
incongruent,0,4,7,a,704,3,102
congruent,1,3,3,l,586,6,102
congruent,1,3,3,l,495,6,102
incongruent,0,4,4,l,1147,8,102
congruent,1,4,7,a,474,3,102
incongruent,0,4,2,l,654,6,102
incongruent,0,3,5,a,457,2,102
incongruent,0,2,2,l,826,4,102
incongruent,0,2,4,a,570,2,102
congruent,1,2,3,l,486,5,102
congruent,1,4,7,a,1034,3,102
incongruent,0,2,5,a,642,3,102
incongruent,0,4,7,a,682,3,102
congruent,1,4,8,a,467,4,102
incongruent,1,1,3,a,1629,4,102
incongruent,0,1,3,a,1106,2,102
incongruent,0,1,2,l,585,3,102
congruent,1,1,2,l,536,3,102
incongruent,1,4,3,a,642,7,102
incongruent,0,3,2,l,512,5,102
incongruent,0,3,6,a,732,3,102
congruent,1,1,4,l,552,5,102
incongruent,0,4,2,l,560,6,102
incongruent,0,1,2,l,485,3,102
incongruent,0,1,4,l,596,5,102
congruent,1,1,3,l,466,4,102
congruent,1,3,2,l,545,5,102
congruent,1,4,4,l,450,8,102
congruent,1,1,3,a,655,2,102
incongruent,0,2,4,l,516,6,102
congruent,1,3,4,l,419,7,102
incongruent,0,2,3,l,608,5,102
incongruent,1,4,8,l,438,4,102
incongruent,0,3,7,a,676,4,102
incongruent,0,1,5,a,628,4,102
congruent,1,2,5,a,535,3,102
incongruent,0,3,4,l,581,7,102
congruent,1,4,6,a,504,2,102
incongruent,0,2,4,a,942,2,102
congruent,1,4,6,a,499,2,102
congruent,1,1,5,a,468,4,102
congruent,1,4,3,l,547,7,102
congruent,1,4,2,l,420,6,102
congruent,1,4,3,l,519,7,102
congruent,1,3,6,a,506,3,102
incongruent,0,3,6,a,755,3,102
congruent,1,3,4,l,625,7,102
congruent,1,3,6,a,511,3,102
incongruent,1,3,7,l,676,4,102
incongruent,0,1,4,l,734,5,102
congruent,1,3,5,a,543,2,102
incongruent,0,3,3,l,562,6,102
congruent,1,2,5,a,581,3,102
incongruent,0,2,4,l,687,6,102
congruent,1,1,2,l,890,3,102
incongruent,0,4,6,a,653,2,102
congruent,1,3,7,a,583,4,102
congruent,1,2,2,l,735,4,102
incongruent,0,3,4,l,927,7,102
congruent,1,2,4,l,359,6,102
incongruent,0,4,3,l,483,7,102
congruent,1,3,7,a,449,4,102
congruent,1,1,4,a,750,3,102
incongruent,0,2,5,a,527,3,102
congruent,1,1,4,l,538,5,102
congruent,1,4,2,l,400,6,102
congruent,1,2,6,a,604,4,102
incongruent,0,3,5,a,829,2,102
congruent,1,2,6,a,360,4,102
incongruent,0,1,4,a,657,3,102
incongruent,0,1,3,l,705,4,102
congruent,1,2,2,l,380,4,102
incongruent,0,2,6,a,604,4,102
incongruent,0,1,4,a,855,3,102
congruent,0,1,3,a,410,4,102
incongruent,0,4,6,a,512,2,102
congruent,1,2,4,a,407,2,102
incongruent,0,2,6,a,747,4,102
incongruent,0,4,8,a,741,4,102
incongruent,0,1,5,a,675,4,102
congruent,1,4,4,l,438,8,102
incongruent,0,1,2,l,557,3,102
congruent,1,3,7,a,506,4,102
incongruent,0,1,3,a,638,2,102
congruent,1,3,3,l,408,6,102
incongruent,1,3,3,a,1006,6,102
congruent,1,2,5,a,503,3,102
congruent,1,3,7,a,418,4,102
incongruent,1,4,6,l,848,2,102
incongruent,0,1,2,l,3,3,102
incongruent,0,3,4,l,592,7,102
incongruent,0,3,2,l,509,5,102
incongruent,0,3,6,a,447,3,102
congruent,1,2,4,l,303,6,102
incongruent,0,4,8,a,942,4,102
incongruent,0,3,3,l,412,6,102
incongruent,0,4,4,l,382,8,102
congruent,1,4,3,l,334,7,102
incongruent,1,1,5,l,630,4,102
congruent,1,3,6,a,657,3,102
congruent,1,3,2,l,558,5,102
congruent,1,1,3,l,610,4,102
congruent,1,4,6,a,543,2,102
congruent,1,2,3,l,576,5,102
congruent,1,2,2,l,557,4,102
congruent,1,1,5,a,568,4,102
congruent,1,1,3,a,673,2,102
incongruent,1,1,5,l,491,4,102
congruent,1,2,6,a,481,4,102
congruent,1,4,3,l,420,7,102
congruent,1,4,2,l,568,6,102
incongruent,0,2,6,a,2098,4,102
congruent,1,1,5,a,672,4,102
congruent,1,3,5,a,527,2,102
congruent,1,4,7,a,592,3,102
incongruent,0,2,5,a,911,3,102
congruent,1,3,4,l,584,7,102
congruent,1,1,4,a,538,3,102
incongruent,0,3,7,a,752,4,102
incongruent,0,3,6,a,558,3,102
incongruent,1,4,8,l,503,4,102
incongruent,0,3,4,l,961,7,102
congruent,1,1,4,l,577,5,102
congruent,1,1,2,l,722,3,102
incongruent,0,4,2,l,427,6,102
congruent,1,2,2,l,381,4,102
incongruent,0,2,2,l,1000,4,102
incongruent,0,2,4,l,456,6,102
incongruent,0,3,5,a,743,2,102
congruent,1,2,4,a,417,2,102
incongruent,0,2,4,a,683,2,102
congruent,1,3,2,l,404,5,102
congruent,1,3,6,a,581,3,102
incongruent,0,2,5,a,501,3,102
incongruent,0,4,3,l,560,7,102
congruent,1,1,3,l,624,4,102
incongruent,0,1,3,l,640,4,102
congruent,1,4,8,a,564,4,102
congruent,1,2,4,l,572,6,102
congruent,1,4,4,l,386,8,102
congruent,1,2,4,a,549,2,102
incongruent,0,1,3,a,524,2,102
incongruent,0,2,6,a,1037,4,102
incongruent,0,3,7,a,496,4,102
incongruent,0,3,2,l,464,5,102
congruent,1,1,2,l,468,3,102
congruent,1,4,4,l,1007,8,102
congruent,1,4,7,a,538,3,102
incongruent,0,2,4,a,726,2,102
incongruent,0,4,2,l,476,6,102
congruent,1,1,4,l,371,5,102
congruent,1,2,5,a,755,3,102
congruent,1,3,3,l,438,6,102
incongruent,0,1,4,a,796,3,102
incongruent,0,4,7,a,535,3,102
congruent,1,4,2,l,438,6,102
incongruent,0,4,7,a,618,3,102
congruent,1,3,5,a,530,2,102
congruent,1,2,6,a,479,4,102
